id,type,amount,category,date,description
T0001,INCOME,45000.0,Salary,2026-09-01,Monthly salary credited
T0002,EXPENSE,1350.0,Food,2026-09-03,Groceries - BigBasket
T0003,EXPENSE,450.0,Food,2026-09-08,Dinner with friends
T0004,EXPENSE,800.0,Transport,2026-09-05,Fuel for bike
T0005,EXPENSE,3200.0,Bills,2026-09-06,Electricity + WiFi bill
T0006,EXPENSE,1200.0,Shopping,2026-09-10,New shoes
T0007,EXPENSE,2500.0,Education,2026-09-02,Online course fee
T0008,EXPENSE,600.0,Health,2026-09-11,Pharmacy
T0009,EXPENSE,350.0,Entertainment,2026-09-12,Movie night
T0010,INCOME,45000.0,Salary,2026-09-01,Monthly salary credited
T0011,EXPENSE,1350.0,Food,2026-09-03,Groceries - BigBasket
T0012,EXPENSE,450.0,Food,2026-09-08,Dinner with friends
T0013,EXPENSE,800.0,Transport,2026-09-05,Fuel for bike
T0014,EXPENSE,3200.0,Bills,2026-09-06,Electricity + WiFi bill
T0015,EXPENSE,1200.0,Shopping,2026-09-10,New shoes
T0016,EXPENSE,2500.0,Education,2026-09-02,Online course fee
T0017,EXPENSE,600.0,Health,2026-09-11,Pharmacy
T0018,EXPENSE,350.0,Entertainment,2026-09-12,Movie night
